id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1061;E659;3292KHV;;2018-02-27;4;84;La Serranica;;;;0;;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;236667;2020-02-25 00:00:00;268716;1;laserranica;480 top;
1062;20147;8108LJT;2020-09-10;2020-09-10;2;93;Ambulancias Edetanas;W1V9076431P245425;7;;7;;;;;MERCEDES BENZ;SPRINTER;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO C;SAMU;BASIC_FLEET;;2022-04-28 00:00:00;32030;1;ambulancias;;
1063;30284;3437LJV;2020-09-11;2020-09-11;2;92;Ambulancias Autónomas;W1V9076431P246301;7;;7;;;;;MERCEDES BENZ;SPRINTER;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO C;SAMU;BASIC_FLEET;;2021-07-22 00:00:00;24238;1;ambulancias;;
1064;JMHI;2130GPL;2009-09-08;2009-09-08;13;95;Fernanbus;;;;;;;;;;;;;;;;;;;;;COCHE;;;;;0;1;fernanbus;;
1065;JMMU;6718GPS;2009-04-25;2009-04-25;13;95;Fernanbus;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;;0;1;fernanbus;;
1066;A124;9313FBW;2006-06-22;2006-06-22;16;4;Cave Talleres;WF0LXXTTFL4T14973;;;;;;;;FORD;TRANSIT 350L;;;;;;;;;;;FURGONETA;;TALLER;;;32700;1;transvia;480 top;
1067;FUR0101;4596CRJ;2004-01-15;2004-01-15;18;83;Furio;;;;;;;;;;;;;;;;;;;;;AUTOBUS;45 PAX;USO GENERAL;;;798168;1;furio;;
1068;163;5540FFY;;2006-09-26;15;67;Therpasa;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;2021-04-29 00:00:00;977202;1;therpasa;;
1069;THP0331;9558DTD;;2005-12-05;17;67;Therpasa;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;2022-04-25 00:00:00;1160514;1;therpasa;480 top;
1070;CITROEN;6421GDS;2008-05-21;2008-05-21;14;138;Roymar;VF7XARHKH64177501;;;;;;;;;;;;;;;;;;;;TURISMO;4+C;;;;0;1;roymar;;
1071;221;9826HXS;;2014-06-10;7;67;Therpasa;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;2021-03-11 00:00:00;1536588;1;therpasa;;
1072;30285;9023KMP;;2018-07-06;4;92;Ambulancias Autónomas;WV1ZZZSYZJ9031371;6;;6;;;;;;;;;;;;;;;;;AMBULANCIA TIPO C;SAMU;BASIC_FLEET;;2022-05-12 00:00:00;40127;1;ambulancias;;
1073;30286;8836KSS;;2019-01-03;3;92;Ambulancias Autónomas;WV1ZZZSYZK9013631;6;;6;;;;;;;;;;;;;;;;;AMBULANCIA TIPO C;SAMU;BASIC_FLEET;;2022-03-11 00:00:00;14009;1;ambulancias;;
1074;A125;7478KNJ;2018-07-31;2018-07-31;4;4;Cave Talleres;YV1XZ72VDK2068145;;;;;;;;VOLVO;XC 40;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;47000;1;transvia;;
1075;20148;0196JBM;2014-12-03;2014-12-03;8;93;Ambulancias Edetanas;WDB9066331S970221;6;;6;;;;;MERCEDES BENZ;SPRINTER;;;;;;;;;;;AMBULANCIA TIPO B;SVB;BASIC_FLEET;;2022-04-27 00:00:00;276369;1;ambulancias;;
1076;ESC0339;E3393BCD;2002-12-09;2002-12-09;20;57;Escartin;VS9AMA0012A839001;56;;56;;;;;MARTSANZ;TT/6E 2.56.006;MARTSANZ;;;;;;;;;;TREN TURISTICO;;USO GENERAL;;2020-10-30 00:00:00;0;1;therpasa;;
1077;R678;4955KVX;2019-03-29;2019-03-29;2;84;La Serranica;WF0DXXW9CHJR82666;5;;5;;;;;FORD;MONDEO;;;;;;;;;;;TURISMO;MONDEO;USO GENERAL;109000;2020-03-11 00:00:00;190425;1;laserranica;480 top;
1078;ESC0333;2603FXX;2007-11-30;2007-11-30;15;57;Escartin;;26;65;26;;;;;;;LIONS CITY 273 E4;;;;;;;;;;URBANO;URBANO;USO GENERAL;;2021-12-12 00:00:00;781967;1;therpasa;;
1079;ESC0334;5285GBN;2008-03-03;2008-03-03;14;57;Escartin;;;;;;;;;;;LIONS CITY 270;;;;;;;;;;URBANO;URBANO;USO GENERAL;;;762082;1;therpasa;;
1080;ESC0335;5325GBN;2008-03-03;2008-03-03;14;57;Escartin;;26;63;26;;;;;;;LIONS CITY 270;;;;;;;;;;URBANO;URBANO;USO GENERAL;;2022-01-14 00:00:00;783441;1;therpasa;;
1081;ESC0336;5354GBN;2008-03-03;2008-03-03;14;57;Escartin;;26;65;26;;;;;;;LIONS CITY 270;;;;;;;;;;URBANO;URBANO;USO GENERAL;;2020-12-15 00:00:00;778664;1;therpasa;;
1082;ESC0337;2848GBW;2008-03-12;2008-03-12;14;57;Escartin;;26;65;26;;;;;;;LIONS CITY 270;;;;;;;;;;URBANO;URBANO;USO GENERAL;;;795846;1;therpasa;;
1083;ESC0338;2887GBW;2008-03-12;2008-03-12;14;57;Escartin;;26;65;26;;;;;;;LIONS CITY 270;;;;;;;;;;URBANO;URBANO;USO GENERAL;;2021-12-28 00:00:00;799130;1;therpasa;;
1084;RCOVID;9065LKP;;;;2;Transvia;;;;;;;;;;;;;;;;;;;;;;;DISCRECIONAL;;;13400;1;transvia;;
1085;ESC0340;3987GSX;2010-01-20;2010-01-20;12;57;Escartin;;4;;4;;;;;FORD;MONDEO HIBRIDO;FORD;;;;;;;;;;TURISMO;5;USO GENERAL;;2021-09-02 00:00:00;0;1;therpasa;480 top;
1086;F219;6746FWD;2007-10-02;2007-10-02;15;95;Fernanbus;SZAN4X20001858368;87;54;31;2;;;No;SCANIA;HABIT;TATA HISPANO;;I;12.00;;11822;8867;199;;;Urbano;Normal;USO GENERAL;;2021-12-02 00:00:00;864574;1;fernanbus;;Diésel
1087;F220;6797FWD;2007-10-02;2007-10-02;15;95;Fernanbus;SZAN4X20001858366;87;54;31;2;;;No;SCANIA;HABIT;TATA HISPANO;;I;12.00;;11822;8867;199;;;Urbano;Normal;USO GENERAL;;2021-12-02 00:00:00;950500;1;fernanbus;;Diésel
1088;F221;6840FWD;2007-10-02;2007-10-02;15;95;Fernanbus;SZAN4X20001858365;87;54;31;2;;;No;SCANIA;HABIT;TATA HISPANO;;I;12.00;;11822;8867;199;;;Urbano;Normal;USO GENERAL;;2021-12-23 00:00:00;857935;1;fernanbus;;Diésel
1089;F222;6996FWD;2007-10-02;2007-10-02;15;95;Fernanbus;SZAN4X20001858367;87;54;31;2;;;No;SCANIA;HABIT;TATA HISPANO;;I;12.00;;11822;8867;199;;;Urbano;Normal;USO GENERAL;;2021-12-27 00:00:00;850137;1;fernanbus;;Diésel
1090;30290;8294LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86403;9;;1;2;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2022-05-23 00:00:00;57000;1;ambulancias;;
1091;RLL11;6252KVZ;2019-04-05;2019-04-05;3;2;Transvia;;;;;;;;;OPEL;CORSA;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
1092;H133;1354BJC;2001-05-02;2021-02-23;1;44;Herca;YS4N4XZ0001839151;103;74;28;1;Si;No;No;SCANIA;CS40 CITY II;CASTROSUA;;I;12.00;;11910;8970;168;;No;Urbano;Normal;USO GENERAL;;;656961;1;bunyol;;Diésel
1093;H088;4764FBZ;2006-06-26;2006-06-26;16;44;Herca;YS2L4X20001854543;100;68;31;1;Si;;;SCANIA;CS40 CITY II;CASTROSUA;;I;12.00;;11930;8970;191;;Si;Urbano;Normal;;608286;2017-12-18 00:00:00;2386080;1;bunyol;;Diésel
1094;ACV0341;5610JLH;2016-01-21;2016-01-21;6;69;Cinco Villas;WF0JXXWPCJFP85452;7;;7;;;;;FORD;S-MAX;FORD;;;;;;;;;;TURISMO;;USO GENERAL;;2021-10-29 00:00:00;154899;1;therpasa;;
1095;ESC0332;0221FTK;2007-07-27;2007-07-27;15;57;Escartin;;28;59;28;;;;;;;LIONS CITY 273 E4;;;;;;;;;;URBANO;URBANO;USO GENERAL;;2022-05-05 00:00:00;790500;1;therpasa;;
1096;THP0342;3564LDC;2019-12-11;2019-12-11;3;67;Therpasa;WF03XXTTG3KM09739;7;;7;;;;;FORD;TOURNEO CUSTOM;FORD;;;;;;;;;;TAXI;8 PLAZAS;USO GENERAL;;;5466;1;therpasa;;
1097;R682;2471KKN;2018-04-30;2018-04-30;3;84;La Serranica;WF0DXXWPCHJS53394;5;;4;;;;;;;;;;;;;;;;;TURISMO;MONDEO;USO GENERAL;35100;2020-01-30 00:00:00;187451;1;laserranica;;
1098;30287;8227LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86409;9;;5;1;;;;;;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;;19226;1;ambulancias;;
1099;30288;8290LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTELD86399;6;;6;;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A1;BASIC_FLEET;;2021-12-07 00:00:00;21557;1;ambulancias;;
1100;30289;8292LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86407;9;;1;2;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2022-05-10 00:00:00;94913;1;ambulancias;;
1101;30291;8307LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86401;9;;1;2;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2022-02-17 00:00:00;57119;1;ambulancias;;
