nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Intercooler;8;D325;13;3;3;4968;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Fuga gasoil;2;U317;18;5;7;6573;60;MAN;18.420 HOCL;;NORMAL;
Paragolpes trasero;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Radiador;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Intercooler;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Ventilador;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Nodriza;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Manguito/s motor;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Manguito/s calefaccion;1;U317;18;2;2;23;60;MAN;18.420 HOCL;;NORMAL;
Cambio filtro aire;1;U317;18;2;23;23;60;MAN;18.420 HOCL;;NORMAL;
Fallo en retarde/intarde;2;B158;10;8;8;3738;53;MAN;LION'S COACH;324;Discrecional;Normal
Nodriza;2;B158;10;8;8;3738;53;MAN;LION'S COACH;324;Discrecional;Normal
Nodriza;2;T297;9;1;43;110;43;IVECO;MIDI STAR;220;Discrecional;Midibus
Sonda nivel;2;T297;9;1;43;3389;43;IVECO;MIDI STAR;220;Discrecional;Midibus
Fallo en EDC;2;B116;14;4;4;82;54;MAN;TOURING;301;Discrecional;Normal
Fuga aceite motor;2;B148;6;5;5;2280;83;MAN;AREA;206;Urbano;Normal
Servo embrague;2;T227;14;6;7;2133;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuga de aire;2;T286;8;5;5;13;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Alternador auxiliar;2;B119;14;6;6;294;54;SCANIA;Pb;309;Discrecional;Normal
Mando emergencia;2;J264;14;1;12;371;40;IVECO;DCR;317;Discrecional;Normal
Fuga de aire;2;J264;14;1;12;71;40;IVECO;DCR;317;Discrecional;Normal
Motor;4;B148;6;1;1;2280;83;MAN;AREA;206;Urbano;Normal
Fuga de aire;2;B145;8;1;1;1;55;MAN;CELERIS;257;Discrecional;Normal
Valvulas aire;2;B145;8;1;1;524;55;MAN;CELERIS;257;Discrecional;Normal
Motor;2;I711;20;25;25;174;13;FORD;TRANSIT;;MICROBUS 14-35 PAX;Micro 14 pax 
Rueda delantera izquierda nueva;3;U304;15;6;64;5394;77;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cuadro;2;U208;34;8;8;12413;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga aceite motor;2;U208;34;8;8;796;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;U304;15;1;6;58;77;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga de aire;2;T241;12;56;56;496;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Fuelles1º eje;2;T241;12;56;56;1931;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Fuelle 2º eje derecho delantero;2;T241;12;56;56;1006;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Instalaciones electricas;2;B130;11;8;8;149;55;SCANIA;CENTURY;280;Discrecional;Normal
Placas de longuitud;2;E613;6;19;23;2211;6;MERCEDES BENZ;VIANO;;TURISMO;Monovolumen  8p
Placas de longuitud;2;J264;14;1;2;5291;40;IVECO;DCR;317;Discrecional;Normal
