nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Tacografo;2;H076;11;6;6;119;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Desconectador de baterias;2;B132;5;1;1;41;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Calefaccion;2;C088;5;27;27;295;53;MAN;LION'S COACH;338;Discrecional;Normal
Calefaccion;2;H087;6;6;6;22;29;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Fuelles1º eje;8;U249;24;42;42;8649;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuelles 2º eje;8;U249;24;42;42;8649;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Radiador;8;U249;24;42;42;8649;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;8;U249;24;42;42;48;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tensores correas;8;U249;24;42;42;904;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Alternador auxiliar;2;B132;5;1;1;1816;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Frenos 2º eje;2;B146;6;30;30;316;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Discos traseros;2;B146;6;30;30;1953;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Cambiar/limpiar filtros;2;B146;6;30;30;30;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Fuga de aire;2;T222;10;36;36;3520;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Rueda trasera derecha exterior usada;2;H101;2;21;21;65;24;MAN;CELERIS;257;Discrecional;Normal
Plataforma elevadora;2;J288;5;6;6;28;35;MAN;DEXON;162;Discrecional;Midibus
Correas;5;H099;3;17;17;647;52;MAN;CITTOUR;228;Urbano;Normal
Tensores correas;5;H099;3;17;17;581;52;MAN;CITTOUR;228;Urbano;Normal
Alternador;5;H099;3;17;17;784;52;MAN;CITTOUR;228;Urbano;Normal
Entrada de agua;2;J264;9;8;8;3242;40;IVECO;DCR;317;Discrecional;Normal
Frenos 2º eje;5;T276;3;7;7;431;35;MAN;OPALIN;176;Discrecional;Midibus
Discos traseros;5;T276;3;7;7;1012;35;MAN;OPALIN;176;Discrecional;Midibus
Freno 2º eje derecho;4;H076;11;5;5;3776;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Freno 2º eje izquierdo;4;H076;11;5;5;3776;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Tambores traseros;4;H076;11;5;5;1560;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Buje 2º eje izquierdo;4;H076;11;5;5;3776;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuelles 2º eje;4;H076;11;5;5;1560;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Nodriza;4;H076;11;5;5;3776;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Limpiaparabrisas;4;H076;11;5;5;675;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Calefaccion;4;H076;11;5;5;3776;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Frenos 1º eje;4;X110;7;12;12;195;16;FORD;TRANSIT;92;Discrecional;Microbus
Deposito de gasoil;4;H081;8;7;7;2936;54;MAN;Pb;338;Discrecional;Normal
Caja cambios;4;I707;6;3;3;6;55;SCANIA;CENTURY;280;Discrecional;Normal
Transmision;4;I707;6;3;3;196;55;SCANIA;CENTURY;280;Discrecional;Normal
Fallo en AVS;4;I707;6;3;3;6;55;SCANIA;CENTURY;280;Discrecional;Normal
Limpiaparabrisas;34;U249;24;1;1;337;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;1;D112;4;10;10;422;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Tensores correas;1;D112;4;10;10;422;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Cambiar turbina/motor condensadora;1;T241;7;34;34;577;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Cambiar/limpiar filtros;1;T241;7;34;34;223;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Calefaccion;1;C084;8;4;4;48;54;MAN;TOURING II;338;Discrecional;Normal
Toldo turisticos;1;U208;29;5;5;26;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;1;U238;30;13;13;92;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga de aire;1;J268;7;4;4;2583;25;MAN;PLATINUM;125;Discrecional;Midibus
Fuga refrigerante;1;U205;27;1;1;958;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Plataforma elevadora;1;T251;5;12;12;147;58;IVECO;EURORI.C-35 A;;NORMAL;57 Plazas
Culata del compresor del motor;2;T227;9;10;10;603;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuga refrigerante;2;U255;5;17;17;119;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambio aceite servodireccion;2;U208;29;2;2;87;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Tacografo;2;U208;29;2;2;10370;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en EDC;2;D112;4;3;3;20;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Fuga gasoil;2;B117;11;51;51;3717;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuelle 2º eje derecho trasero;2;H087;6;8;8;2073;29;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Frenos 2º eje;13;T227;9;11;11;122;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Discos traseros;13;T227;9;11;11;3216;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Servofreno;13;T227;9;11;11;3216;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Bujes 2º eje;13;T227;9;11;11;3216;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Cambio filtro secador;2;T222;10;7;7;3527;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Limpiaparabrisas;2;T222;10;7;7;658;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Limpiaparabrisas;2;H081;8;3;3;107;54;MAN;Pb;338;Discrecional;Normal
Tacografo;9;U208;29;4;4;8;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 2º eje;2;T286;3;46;46;158;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Ruido al frenar;2;T286;3;46;46;826;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Culata del compresor del motor;2;B133;5;10;10;1824;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cambio filtro refrigerante;4;H085;7;5;5;2307;54;SCANIA;Pb;309;Discrecional;Normal
Culata del compresor del motor;4;T173;17;6;6;667;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Fallo en AVS;4;T173;17;6;6;66;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Frenos 1º eje;4;T286;3;3;3;829;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Calefaccion;1;J266;8;12;12;56;55;SCANIA;ATLANTIS;280;Discrecional;Normal
Cambiar turbina/motor condensadora;2;U255;5;5;5;106;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 1º eje;17;X110;7;23;23;23;16;FORD;TRANSIT;92;Discrecional;Microbus
Frenos 2º eje;17;X110;7;23;23;1113;16;FORD;TRANSIT;92;Discrecional;Microbus
Tacografo;17;X110;7;23;23;1064;16;FORD;TRANSIT;92;Discrecional;Microbus
Calefaccion;2;H076;11;8;8;8;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio liquido refrigerante;2;H081;8;4;4;404;54;MAN;Pb;338;Discrecional;Normal
Tacografo;2;H094;4;1;1;1446;59;MAN;i4;228;Discrecional;Normal
Rueda trasera derecha exterior usada;2;B133;5;4;4;878;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Frenos 1º eje;2;B117;11;6;6;117;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Tirantes/silembrocs 1º eje izquierdo;2;B117;11;6;6;3723;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Plataforma elevadora;2;B132;5;6;6;15;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Correas;2;B133;5;1;1;111;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Tensores correas;2;B133;5;1;1;111;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Actuador freno;7;T252;5;6;6;1825;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Fuelle 2º eje derecho trasero;7;T252;5;6;6;1825;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Fuelle 2º eje izquierdo trasero;7;T252;5;6;6;1825;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Cambio filtro retarde;4;U198;29;123;123;1352;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Volante motor;4;U198;29;123;123;10327;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bomba agua;4;U198;29;123;123;1120;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en DKS;3;I708;2;8;8;485;59;SCANIA;TOURING III;294;Discrecional;Normal
Limpiar carroceria;2;A109;4;10;10;1172;36;TEMSA;OPALIN 8.4;;MICROBUS;Micro 35 Plazas
Manguito/s calefaccion;2;T222;10;8;8;1164;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Calefaccion;2;U205;27;10;10;9667;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;U255;5;3;3;8;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en retarde/intarde;2;B117;11;2;2;3725;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Arranque;2;H103;6;24;24;310;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Motor evaporacion;2;T222;10;8;8;3535;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Cambiar turbina/motor condensadora;2;T222;10;8;8;274;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Fuga refrigerante;4;T246;6;7;7;138;;IRIZAR;I6 15.37;;AUTOBUS;
Fallo en retarde/intarde;4;B130;6;4;4;397;55;SCANIA;CENTURY;280;Discrecional;Normal
Porton/es maletero;4;J288;5;18;18;33;35;MAN;DEXON;162;Discrecional;Midibus
Calefaccion;3;T241;7;7;7;472;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Porton/es maletero;5;T222;10;4;4;3542;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Manguetas 1º eje;3;J264;9;19;19;3261;40;IVECO;DCR;317;Discrecional;Normal
Tacografo;2;U255;5;4;4;1792;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;2;H081;8;7;7;249;54;MAN;Pb;338;Discrecional;Normal
Calefaccion;2;X114;4;1;1;245;61;MAN;LION'S TOP COACH;324;Discrecional;Normal
Modificaciones tecnicas;2;C092;3;18;18;895;53;MERCEDES BENZ;TOURISMO 15 RHD;300;Discrecional;Normal
Clausor;2;H103;6;4;4;2203;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Bomba agua;2;U255;5;4;4;1792;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Baterias;2;U284;2;16;16;672;36;MAN;SIN ASIGNAR;;MICROBUS;Micro 35 Plazas
Porton/es maletero;2;H102;2;16;16;716;24;MAN;CELERIS;257;Discrecional;Normal
Llantas;2;E613;1;92;92;182;6;MERCEDES BENZ;VIANO;;TURISMO;Monovolumen  8p
Servofreno;2;T227;9;14;14;3;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Fuga aceite servodireccion;2;U292;1;3;3;349;80;MAN;LION'S CITY DD;199;Urbano;Doble Piso
Instalaciones electricas;2;U292;1;3;3;87;80;MAN;LION'S CITY DD;199;Urbano;Doble Piso
Rotulas direccion;5;H102;2;5;5;732;24;MAN;CELERIS;257;Discrecional;Normal
Timoneria direccion;5;H102;2;5;5;732;24;MAN;CELERIS;257;Discrecional;Normal
Cambio filtro refrigerante;1;T173;17;10;10;6077;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Instalaciones electricas;2;X114;4;3;3;1456;61;MAN;LION'S TOP COACH;324;Discrecional;Normal
Rotular lateral derecho;2;T276;3;11;11;1030;35;MAN;OPALIN;176;Discrecional;Midibus
Actuador freno;2;H088;6;31;31;871;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fuga de aire;2;H088;6;31;31;1061;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fuga refrigerante;2;H088;6;31;31;2062;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Tensores correas;2;H088;6;31;31;135;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Calefaccion;2;H088;6;31;31;449;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Cambio filtro secador;2;H103;6;3;3;231;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Instalaciones electricas;2;H103;6;3;3;2206;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Frenos 2º eje;2;H101;2;1;1;750;24;MAN;CELERIS;257;Discrecional;Normal
Arranque;4;H088;6;3;3;1236;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Actuador freno;39;U205;27;45;45;126;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Caja cambios;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Transmision;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Termostatos;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bomba agua;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;39;U205;27;45;45;318;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Casquillos de bancada;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Casquillos de biela;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Reglaje valvulas;39;U205;27;45;45;325;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Compresor del motor;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Culata del compresor del motor;39;U205;27;45;45;208;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Inyectores;39;U205;27;45;45;325;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bomba inyectora;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Culatas motor;39;U205;27;45;45;325;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Camisas;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Pistones;39;U205;27;45;45;9712;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Alternador;39;U205;27;45;45;325;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Arranque;39;U205;27;45;45;978;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Calefaccion;3;T227;9;4;4;32;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Turbo;15;H088;6;14;14;797;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Reglaje valvulas;15;H088;6;14;14;2079;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Culatas motor;15;H088;6;14;14;499;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Rueda trasera izquierda exterior usada;2;A109;4;5;5;1184;36;TEMSA;OPALIN 8.4;;MICROBUS;Micro 35 Plazas
Amortiguador 1º eje derecho;26;H103;6;28;28;2234;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Kit embrague;26;H103;6;28;28;2234;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Volante motor;26;H103;6;28;28;2234;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Motor;26;H103;6;28;28;345;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Casquillos de biela;26;H103;6;28;28;345;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Pistones;26;H103;6;28;28;345;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Limpiaparabrisas;26;H103;6;28;28;2234;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Arranque;26;H103;6;28;28;35;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Pintar vehiculo completo;26;H103;6;28;28;2234;25;MERCEDES BENZ;SPRINT 616;;MICROBUS 14-35 PAX;Micro 25 pax
Baterias;1;H081;8;6;6;770;54;MAN;Pb;338;Discrecional;Normal
Instalaciones electricas;2;T272;4;8;8;1461;61;MAN;LION' S TOP COACH;324;Discrecional;Normal
Alternador;2;H099;3;23;23;23;52;MAN;CITTOUR;228;Urbano;Normal
Rueda trasera derecha exterior usada;2;H087;6;20;20;34;29;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Correas;2;T272;4;8;8;1371;61;MAN;LION' S TOP COACH;324;Discrecional;Normal
Bomba agua;7;D112;4;17;17;1263;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Calentadores;7;D112;4;17;17;49;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Caja cambios;2;B117;11;13;13;891;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Bomba freno;2;X110;7;1;1;2572;16;FORD;TRANSIT;92;Discrecional;Microbus
Bomba precalentador;1;I708;2;12;12;497;59;SCANIA;TOURING III;294;Discrecional;Normal
Tensores correas;2;J268;7;23;23;2606;25;MAN;PLATINUM;125;Discrecional;Midibus
Frenos 1º eje;2;I708;2;2;2;499;59;SCANIA;TOURING III;294;Discrecional;Normal
Ruido al bachear;2;I708;2;2;2;499;59;SCANIA;TOURING III;294;Discrecional;Normal
Fallo en retarde/intarde;2;I708;2;2;2;87;59;SCANIA;TOURING III;294;Discrecional;Normal
Calefaccion;2;I708;2;2;2;70;59;SCANIA;TOURING III;294;Discrecional;Normal
Bomba precalentador;2;I708;2;2;2;2;59;SCANIA;TOURING III;294;Discrecional;Normal
Cambiar/limpiar filtros;2;T276;3;4;4;787;35;MAN;OPALIN;176;Discrecional;Midibus
Fuga refrigerante;4;T246;6;5;5;14;;IRIZAR;I6 15.37;;AUTOBUS;
Fallo en ABS/EBS;4;J289;5;33;33;1574;22;MERCEDES BENZ;GÓNGORA;175;Discrecional;Midibus
Frenos 1º eje;4;T259;4;7;7;192;55;SCANIA;TITANIUM;279;Discrecional;Normal
Frenos 2º eje;4;T259;4;7;7;357;55;SCANIA;TITANIUM;279;Discrecional;Normal
Correas;4;A109;4;6;6;101;36;TEMSA;OPALIN 8.4;;MICROBUS;Micro 35 Plazas
Rueda trasera derecha exterior usada;4;B132;5;7;7;1603;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Fuga de aire;3;J269;6;6;6;165;50;SCANIA;ATLANTIS;280;Discrecional;Normal
Ruido al girar;3;J269;6;6;6;2174;50;SCANIA;ATLANTIS;280;Discrecional;Normal
Calefaccion;3;J269;6;6;6;453;50;SCANIA;ATLANTIS;280;Discrecional;Normal
Rueda delantera derecha usada;2;U238;30;6;6;10766;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga de aire;2;U238;30;6;6;104;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bomba agua;1;T272;4;5;5;1466;61;MAN;LION' S TOP COACH;324;Discrecional;Normal
Radiador/es calefaccion;1;T227;9;7;7;3230;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Enfriador motor;4;I707;6;31;31;1921;55;SCANIA;CENTURY;280;Discrecional;Normal
Compresor del motor;4;I707;6;31;31;1921;55;SCANIA;CENTURY;280;Discrecional;Normal
Arranque;4;I707;6;31;31;1921;55;SCANIA;CENTURY;280;Discrecional;Normal
Compresor a.a;4;B146;6;3;3;1989;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Parasol;4;B146;6;3;3;1989;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Fuga refrigerante;2;T222;10;12;12;580;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Termostatos;2;T222;10;12;12;3554;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Culata del compresor del motor;2;T222;10;12;12;3554;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Timoneria direccion;3;T241;7;3;3;2369;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Cambiar/limpiar filtros;7;X114;4;17;17;215;61;MAN;LION'S TOP COACH;324;Discrecional;Normal
Porton/es maletero;7;X114;4;17;17;228;61;MAN;LION'S TOP COACH;324;Discrecional;Normal
Rotulas direccion;1;U249;24;1;1;8677;53;SCANIA;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;1;T246;6;1;1;410;;IRIZAR;I6 15.37;;AUTOBUS;
Desconectador de baterias;1;T259;4;1;1;1516;55;SCANIA;TITANIUM;279;Discrecional;Normal
Fuelles1º eje;1;B129;6;19;19;2149;55;MAN;DIVO II;338;Discrecional;Normal
Correas;1;T222;10;12;12;106;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Tensores correas;1;T222;10;12;12;3554;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Instalaciones electricas;2;H085;7;2;2;2331;54;SCANIA;Pb;309;Discrecional;Normal
Tirantes/silembrocs 1º eje;2;C084;8;31;31;2947;54;MAN;TOURING II;338;Discrecional;Normal
Cambiar/limpiar filtros;2;T241;7;3;3;31;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Correas;2;U255;5;3;3;158;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;2;X111;7;9;9;428;51;MAN;PLATINUM;265;Discrecional;Normal
Cambio filtro desahogo;2;T173;17;15;15;692;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
Parada solicitada;2;T229;9;42;42;3136;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Rueda trasera izquierda exterior usada;2;H092;5;39;39;1607;89;VOLVO;ASTRAL;213;Urbano;Normal
Frenos 1º eje;2;H081;8;11;11;2968;54;MAN;Pb;338;Discrecional;Normal
Fuga aceite servodireccion;2;H081;8;11;11;58;54;MAN;Pb;338;Discrecional;Normal
Limpiaparabrisas;2;H081;8;11;11;29;54;MAN;Pb;338;Discrecional;Normal
Fallo en EDC;4;D112;4;7;7;32;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Fuga refrigerante;4;T222;10;5;5;5;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Fallo en ECAS;5;B132;5;8;8;1856;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Sonda nivel;3;J269;6;7;7;2181;50;SCANIA;ATLANTIS;280;Discrecional;Normal
Cambio filtro refrigerante;3;I707;6;6;6;1927;55;SCANIA;CENTURY;280;Discrecional;Normal
Bomba direccion;2;U208;29;7;7;391;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Bomba hidroventilador;19;T246;6;24;24;2221;;IRIZAR;I6 15.37;;AUTOBUS;
Radiador;19;T246;6;24;24;2221;;IRIZAR;I6 15.37;;AUTOBUS;
Intercooler;19;T246;6;24;24;682;;IRIZAR;I6 15.37;;AUTOBUS;
Preparar vehiculo para pintar;19;T246;6;24;24;2221;;IRIZAR;I6 15.37;;AUTOBUS;
Pintar vehiculo completo;19;T246;6;24;24;2221;;IRIZAR;I6 15.37;;AUTOBUS;
Culata del compresor del motor;4;U255;5;3;3;1812;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Compresor a.a;4;U255;5;6;6;1815;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Carga de gas;4;U255;5;6;6;1815;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Plataforma elevadora;4;U255;5;6;6;99;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Rueda trasera izquierda exterior usada;2;H099;3;13;13;266;52;MAN;CITTOUR;228;Urbano;Normal
Fuelle2º eje izquierdo delantero;2;B127;7;39;39;1540;32;VOLVO;HABIT;250;Urbano;Normal
Nevera;39;T259;4;17;17;1560;55;SCANIA;TITANIUM;279;Discrecional;Normal
Manguito/s motor;2;T227;9;9;9;387;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Paragolpes trasero;2;X111;7;5;5;191;51;MAN;PLATINUM;265;Discrecional;Normal
Alternador;2;B119;9;96;96;338;54;SCANIA;Pb;309;Discrecional;Normal
Termostatos;2;T222;10;2;2;7;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Bomba agua;2;T222;10;2;2;3561;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Bomba direccion;2;U208;29;1;1;1;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambio filtro adblue;2;T229;9;5;5;358;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Fuga de aire;2;U238;30;7;7;9;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga de aire;8;C087;6;5;5;2107;49;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
Manguito/s motor;2;H088;6;3;3;171;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Nodriza;2;H088;6;3;3;2082;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Bomba agua;2;T222;10;1;1;1;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Servo embrague;2;H082;8;17;17;2956;54;MAN;TOURING STAR;338;Discrecional;Normal
Fallo en EDC;2;J268;7;10;10;1048;25;MAN;PLATINUM;125;Discrecional;Midibus
Tacografo;1;H081;8;6;6;507;54;MAN;Pb;338;Discrecional;Normal
Ruido en motor;2;J268;7;1;1;2621;25;MAN;PLATINUM;125;Discrecional;Midibus
Fallo en EDC;2;J268;7;1;1;1;25;MAN;PLATINUM;125;Discrecional;Midibus
Fallo en ZBR;2;J268;7;1;1;71;25;MAN;PLATINUM;125;Discrecional;Midibus
Cambiar/limpiar filtros;2;J268;7;1;1;2621;25;MAN;PLATINUM;125;Discrecional;Midibus
Entrada de agua;2;J268;7;1;1;2621;25;MAN;PLATINUM;125;Discrecional;Midibus
Apoyabrazos;2;J268;7;1;1;2621;25;MAN;PLATINUM;125;Discrecional;Midibus
Cambiar/limpiar filtros;1;B148;1;10;10;239;83;MAN;AREA;206;Urbano;Normal
